BYSID,BYTID,BYAID,BYHID,GENDER,BYS02003,BYS02004,BYS02012,BYS03001,BYS04007,BYS04008,BYS04009,BYS04010,BYS05001,BYS05003,BYS05006,BYS06001,BYS06004,BYS07001,BYS07002,BYS07003,BYS07006,BYS07014,BYS07022,BYS07025,BYS07026,BYS07027,BYS07029,BYS08001,BYS08002,BYS08003,BYS08004,BYS08005,BYS08007,BYS09001,BYS09002,BYS09003,BYS09004,BYS10001,BYS10002,BYS10003,BYS10005,BYS11001,BYS11002,BYS11003,BYS11004,BYS11005,BYS11006,BYS12001,BYS12004,BYS12007,BYS12010,BYS12013,BYS12016,BYS12019,BYS12022,BYS13001,BYS14001,BYS14013,BYS14025,BYS15001,BYS16001,BYS20001,BYS20007,BYS20009,BYS20011,BYS20013,BYS20015,BYS20017,BYS20018,BYS20019,BYS20020,BYS20021,BYS21001,BYS22001,BYS22002,BYS22003,BYS22006,BYS22010,BYS22012,BYS22013,BYS22014,BYS22015,BYS22017,BYS23002,BYS23003,BYS23004,BYS24001,BYS24002,BYS24005,BYS25001,BYS25002,BYS25003,BYS26001,BYS26002,BYS26003,BYS26004,BYS26005,BYS26006,BYS26007,BYS26009,BYS27001,BYS27003,BYS27006,BYS27010,BYS27011,BYS27012,BYS27020,BYS29001,BYS29002,BYS29003,BYS29004,BYS29005,BYS29006,BYS29007,BYS29008,BYS29009,BYS29010,BYS29011,BYS29012,BYS29013,BYS29014,BYS29015,BYS29016,BYS29017,BYS29018,BYS29019,BYS29020,BYS29021,BYS29022,BYSCLASS,J007C
2109,1481,148,21091,2,3,3,2,2,3,4,3,2,2,2,2,2,2,4,1,1,1,1,1,3,1,1,4,2,3,6,6,2,1,2,1,2,3,4,2,1,5,4,3,3,3,2,3,1,2,2,2,2,1,2,2,2,2,2,1,1,3,1,2,2,2,2,2,1,2,1,2,1,1,2,1,3,4,1,2,4,4,2,4,3,1,4,2,7,2,3,8,1,3,2,2,1,1,2,2,2,2,2,2,30,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2110,1163,116,21101,2,3,4,1,2,4,2,3,2,2,1,2,1,2,4,1,1,1,1,1,3,1,1,4,2,1,2,6,1,1,1,1,6,2,3,6,5,2,2,3,4,2,3,3,2,1,1,1,2,2,2,2,4,1,2,2,1,3,2,1,1,1,2,1,1,1,1,1,11,2,9,8,3,3,2,3,4,3,3,4,1,6,1,2,7,2,4,8,1,3,3,3,2,1,2,2,2,2,2,2,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
2117,1104,110,21171,2,2,4,2,1,4,9,4,2,1,2,1,2,2,4,1,1,1,1,1,3,3,2,4,5,3,1,1,2,2,2,1,2,4,3,3,6,5,3,3,2,2,1,1,2,1,1,1,1,2,2,2,1,2,2,2,1,3,2,2,2,1,2,2,1,1,1,1,7,2,2,8,2,4,1,2,2,4,3,3,1,3,2,2,1,2,4,9,1,2,2,2,2,2,1,2,2,2,2,2,10,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2118,1854,185,21181,1,3,2,2,1,4,4,3,2,2,2,1,1,2,4,1,1,1,1,1,4,4,3,4,1,1,6,6,13,2,2,1,3,3,3,5,6,4,4,3,3,2,2,2,1,1,1,1,1,2,2,2,1,2,2,1,1,3,1,1,2,1,2,1,1,1,1,1,6,1,1,9,3,5,1,4,5,5,4,5,1,8,1,1,2,2,4,6,1,2,2,1,2,1,1,1,2,2,2,2,2,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
2119,1011,101,21191,1,3,1,3,1,3,4,6,1,1,2,2,1,2,5,1,1,1,1,1,5,4,3,4,2,1,2,1,1,4,1,1,4,4,5,6,6,4,3,2,2,1,4,4,1,1,1,1,1,2,2,2,2,2,2,2,2,5,1,2,2,2,2,2,1,1,2,2,1,2,1,3,2,3,1,4,3,5,3,2,2,3,2,1,1,2,2,7,1,3,3,2,1,1,2,3,1,2,2,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2121,1763,176,21211,1,4,3,1,1,3,4,3,2,2,2,2,2,2,5,1,1,1,1,1,4,2,2,5,2,5,3,6,1,2,1,1,2,4,3,2,3,4,4,2,3,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,1,1,1,2,1,2,8,10,1,5,1,4,5,4,3,3,4,1,1,1,2,2,5,8,1,3,3,2,2,1,2,2,2,2,2,2,3,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2122,1694,169,21221,2,1,4,1,1,4,9,5,2,1,1,1,2,2,3,1,1,1,1,1,4,1,1,2,1,3,1,6,2,2,3,1,2,2,2,1,1,3,1,3,3,2,5,3,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,2,2,1,1,1,1,1,1,1,4,2,2,1,3,5,1,4,4,4,2,4,1,4,2,2,1,2,5,5,2,2,2,2,2,1,2,2,2,2,1,2,2,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2125,1624,162,21251,1,4,3,1,1,4,1,3,2,1,1,2,2,2,3,1,1,1,1,1,4,3,3,5,1,1,4,2,2,2,1,1,4,4,1,6,2,5,3,5,2,5,5,5,1,1,1,1,1,2,2,2,4,1,1,1,1,3,1,2,2,1,2,1,1,1,1,1,12,2,2,3,4,5,1,3,4,5,4,3,1,4,4,1,1,2,4,6,2,2,3,2,1,1,2,2,1,2,2,2,0,0,2,8,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2
2126,1853,185,21261,1,3,3,3,1,4,3,1,2,2,1,1,2,2,4,1,1,1,1,1,4,3,3,5,1,1,6,6,2,6,1,1,2,2,2,5,6,4,4,3,3,3,4,3,1,1,1,1,1,2,2,2,1,2,2,1,1,3,1,2,1,1,2,1,1,1,1,1,8,2,4,2,3,4,1,4,4,3,3,3,1,8,2,1,1,2,2,5,2,3,3,2,1,1,1,2,2,2,2,2,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
2128,1042,104,21281,1,4,2,3,1,3,4,5,2,1,2,1,2,2,4,1,1,1,1,1,4,3,3,4,6,1,3,4,1,4,1,1,1,3,3,2,3,4,4,3,3,2,2,2,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,2,2,1,2,1,1,1,2,1,5,2,8,3,2,4,1,4,4,3,4,3,4,2,2,1,2,2,4,7,1,2,2,2,1,1,2,2,2,2,2,2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
2129,1784,178,21291,2,3,3,1,1,4,5,3,2,1,2,1,2,2,4,1,1,1,1,1,3,1,1,5,1,1,1,6,13,2,1,1,3,2,3,6,1,2,3,2,3,1,2,1,1,1,1,2,1,1,2,2,3,2,2,2,2,3,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,3,2,2,3,2,1,2,2,1,2,5,6,1,4,4,2,1,1,3,3,1,2,2,2,3,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
2130,1044,104,21301,1,3,1,2,2,4,4,5,2,1,1,1,2,2,4,1,1,1,1,1,4,3,1,2,2,1,6,6,1,2,1,2,1,5,5,2,5,5,4,4,4,3,4,4,1,1,1,1,1,2,2,1,1,1,2,2,2,3,2,2,2,1,2,2,2,1,2,2,12,2,9,8,4,3,2,3,4,4,4,4,1,6,4,1,7,2,4,6,1,2,3,2,1,1,1,1,2,2,2,2,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2133,1522,152,21331,2,2,3,3,2,5,4,5,2,2,2,2,2,2,5,1,1,1,1,1,4,3,2,5,2,3,6,6,1,2,1,1,2,3,5,2,6,6,4,3,4,2,5,3,1,1,1,1,1,2,2,2,1,2,2,1,1,4,1,2,1,1,2,2,2,1,2,1,6,2,2,8,3,5,1,2,3,3,5,4,1,4,3,2,1,2,5,10,1,1,2,1,1,1,1,1,2,2,2,2,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2134,1353,135,21341,2,2,2,2,1,4,3,4,2,2,2,1,2,2,3,1,1,1,1,1,4,2,1,1,1,1,2,5,2,1,1,1,4,3,5,2,3,5,3,4,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,12,2,2,1,3,3,2,3,4,4,3,3,1,4,2,2,7,2,3,7,1,3,3,2,2,1,2,2,2,2,2,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
2135,1704,170,21351,1,4,1,3,1,3,4,6,2,2,1,2,2,2,4,1,1,1,1,1,3,1,2,4,2,3,2,6,1,2,1,2,1,3,3,3,5,4,2,3,1,1,2,2,2,2,2,2,2,2,2,2,3,1,2,1,2,3,2,2,2,1,2,2,2,2,1,2,7,2,1,8,3,2,2,1,2,2,2,2,2,8,2,1,7,2,3,7,1,3,2,2,2,1,1,2,2,2,2,2,20,0,2,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
