BYHID,BYSID,BYSCLASS,F1H01001,F1H01002,F1H01003,F1H01004,F1H01005,F1H01006,F1H01007,F1H01008,F1H02001,F1H02002,F1H02003,F1H02004,F1H02005C,F1H02006,F1H03001,F1H03002,F1H03003,F1H03004,F1H03005C,F1H03006,F1H04001,F1H04002,F1H04003,F1H04004,F1H04005,F1H05001,F1H05002,F1H05003,F1H06001,F1H06002,F1H06003
30751,3075,2,2001,2,-5,-5,-5,-5,-5,-5,2001,1,4,300,1031,2,2002,1,5,-5,1045,2,300,50,-2,2,-5,200,-4,-4,1,1,1
30761,3076,2,2001,2,-5,-5,-5,-5,-5,-5,2001,1,1,300,0227,1,2002,2,-5,-5,-5,2,300,150,30000,2,-5,150,0,0,1,1,4
30771,3077,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,3,-3,0154,1,2002,1,5,-5,0154,1,-3,-2,-2,-3,-5,200,50,25,1,1,1
30781,3078,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,4,250,0931,1,2002,1,2,120,1841,2,370,100,20000,2,-5,250,50,25,1,1,1
30791,3079,2,2001,2,-5,-5,-5,-5,-5,-5,2001,1,1,450,0660,2,2002,2,-5,-5,-5,2,450,200,60000,2,-5,200,50,50,1,2,1
30801,3080,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,2,100,1431,2,2002,1,2,65,1970,2,165,0,3500,2,-5,165,0,0,1,1,2
30811,3081,2,3000,2,-5,-5,-5,-5,-5,-5,2001,1,2,-2,1490,2,1002,2,-5,-5,-5,2,-2,0,2500,2,-5,70,-4,4,1,1,2
30821,3082,2,2001,2,-5,-5,-5,-5,-5,-5,2001,1,3,150,0141,2,2002,1,4,100,0156,2,250,-2,0,1,10000,70,0,0,1,4,4
30831,3083,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,2,100,1490,2,2002,2,-5,-5,-5,2,200,0,-2,1,-2,70,0,0,1,1,4
30841,3084,2,2002,2,-5,-5,-5,-5,-5,-5,2001,2,-5,-5,-5,2,2002,1,2,100,1330,2,100,0,0,1,2000,-2,-4,-4,1,3,2
30851,3085,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,4,100,1468,2,2002,1,2,100,1032,2,200,0,-3,1,-3,200,0,0,1,1,3
30861,3086,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,4,0,-3,2,2002,1,2,100,-3,2,100,0,-3,-3,-5,150,0,0,1,1,3
30871,3087,2,2001,2,-5,-5,-5,-5,-5,-5,2001,1,1,-3,1920,2,2002,1,4,-3,0156,2,-3,-2,-2,1,-2,200,-4,-4,1,2,2
30881,3088,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,1,250,0227,1,2002,1,1,100,1841,2,350,50,-2,2,-5,200,0,0,1,1,3
30891,3089,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,4,250,1460,2,2002,2,-5,-5,-5,2,250,25,5500,1,4000,200,-4,0,1,1,2
30901,3090,2,2002,2,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,2002,1,1,110,2271,2,110,0,500,1,3000,110,20,20,2,3,3
30911,3091,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,4,40,2322,2,2002,1,4,0,2322,2,40,0,3000,1,8000,100,20,20,1,1,4
30931,3093,2,2001,2,-5,-5,-5,-5,-5,-5,2001,1,4,150,0930,1,2002,2,-5,-5,-5,2,150,0,15000,2,-5,200,0,0,1,1,3
30941,3094,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,4,200,0931,2,2002,1,2,100,1330,2,300,30,2000,2,-5,270,20,0,1,2,3
