BYS02001,BYS02002,BYS02005,BYS02006,BYS02007,BYS02008,BYS02009,BYS02010,BYS02011,BYS03002,BYS03003,BYS03004,BYS04001,BYS04002,BYS04003,BYS04004,BYS04005,BYS04006,BYS07015,BYS07016,BYS07017,BYS07018,BYS07019,BYS07020,BYS07021,BYS07028,BYS08008,BYS10004,BYS11007,BYS11008,BYS11009,BYS11010,BYS11011,BYS11012,BYS11013,BYS11014,BYS11015,BYS11016,BYS12025,BYS20022,BYS22004,BYS22005,BYS22007,BYS22008,BYS22009,BYS22016,BYS23001,BYS24003,BYS24004,BYS26008,BYS32001,BYS32002,BYS32003,BYS32004,BYS32005,BYS32006,BYS32007,BYS32008,BYS32009,BYS32010,BYSID
4,4,2,3,5,5,5,2,4,1,1,1,3,3,2,5,2,5,4,3,3,3,3,2,4,2,2,1,1,2,4,3,5,4,2,2,4,3,4,11,3,2,2,4,4,3,3,183,78,2,1,1,2,4,3,3,4,3,5,5,5113
3,3,3,3,2,2,3,4,4,2,1,2,3,3,3,4,2,3,4,3,3,4,4,2,4,3,2,2,4,2,4,2,5,5,4,3,5,5,3,9,4,3,2,4,4,4,1,164,63,2,2,1,2,1,3,4,3,1,4,4,5120
3,4,3,3,2,3,4,4,3,2,2,2,3,3,3,4,4,4,5,4,4,4,3,1,4,2,5,2,3,3,4,3,3,2,4,4,4,3,3,7,3,3,2,4,3,2,1,186,68,2,1,1,2,3,3,3,4,3,4,4,5121
4,3,2,4,3,4,3,3,2,2,1,2,3,2,2,4,3,4,4,4,4,4,3,3,4,3,8,2,5,4,1,1,4,2,4,2,2,3,3,11,3,3,4,4,3,3,1,172,57,2,1,1,2,3,3,4,4,4,4,5,5122
4,4,4,3,3,3,4,1,2,1,1,1,3,4,4,4,2,4,5,5,5,5,5,3,5,3,12,2,2,2,4,3,5,4,2,2,3,3,4,2,3,3,3,4,4,3,4,163,56,1,1,1,2,3,3,3,4,3,4,4,5126
3,2,3,3,3,3,4,4,3,2,1,2,5,3,5,4,3,3,4,4,4,4,4,4,4,3,2,2,3,3,2,2,3,3,4,3,5,4,3,7,3,3,3,3,3,3,1,165,65,2,1,1,2,3,3,3,4,3,4,4,5127
3,4,3,4,3,2,3,3,3,1,1,1,4,4,4,4,4,5,4,5,4,4,4,2,5,3,1,2,4,3,1,1,4,2,2,2,4,4,4,7,4,3,3,4,3,3,1,176,68,2,1,1,2,3,3,3,3,2,3,4,5129
3,4,2,2,4,4,3,3,3,2,1,2,4,4,3,3,3,5,2,3,2,2,4,4,2,4,4,2,3,2,2,1,3,3,4,3,4,2,3,1,2,2,2,3,3,2,1,158,48,3,2,1,2,2,2,2,3,3,3,4,5130
2,3,2,2,2,3,4,4,4,2,1,2,2,4,4,2,2,4,4,2,4,2,2,2,4,3,13,1,1,1,3,2,3,3,3,3,4,3,4,7,3,4,3,4,3,3,1,161,60,2,2,1,2,4,4,3,4,4,4,4,5131
4,4,3,4,3,4,4,4,2,1,1,2,4,3,5,5,3,5,3,3,3,5,3,3,4,1,1,3,1,1,4,3,1,1,1,1,1,1,4,2,1,3,2,3,4,3,3,154,59,3,1,1,2,2,2,2,3,2,3,3,5132
4,4,3,3,4,4,4,4,5,2,1,2,3,4,4,4,2,5,5,3,5,4,5,2,5,2,12,2,2,1,5,4,4,4,3,3,3,3,4,1,2,1,3,4,4,2,2,157,75,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,5140
4,1,3,4,4,3,2,4,4,1,1,1,4,5,3,3,1,4,4,3,4,3,2,5,1,1,8,1,1,1,5,4,4,3,3,3,2,1,4,7,3,2,1,4,4,5,1,170,60,3,1,1,2,4,2,2,2,2,3,3,5142
3,3,2,2,3,4,4,3,4,1,1,1,3,5,4,5,3,4,4,5,4,4,4,2,4,3,1,2,2,2,4,4,5,4,4,4,3,3,4,1,3,4,3,4,4,4,3,165,57,1,1,1,2,5,3,4,5,4,4,5,5144
2,2,2,3,3,4,3,3,5,2,2,2,1,5,5,5,2,5,3,4,4,2,3,4,4,1,13,1,5,2,4,3,5,4,4,3,4,4,3,4,3,2,2,2,2,2,3,161,47,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,5146
2,1,1,2,2,3,1,2,2,2,2,2,3,4,4,4,5,5,1,3,1,2,1,1,1,1,13,1,2,1,2,1,5,1,3,1,4,2,4,11,2,2,1,2,1,2,1,168,74,4,3,1,2,1,3,2,3,1,2,2,5147
1,1,4,5,3,3,4,2,3,1,1,1,1,5,3,5,4,5,3,5,5,5,5,3,5,4,13,1,1,1,4,3,4,3,3,3,4,4,3,4,4,3,4,5,2,3,1,170,59,2,1,1,2,2,4,3,4,3,4,3,5148
2,2,1,3,3,2,3,3,5,1,1,1,5,4,5,5,3,3,4,3,5,5,4,2,5,2,13,1,1,1,4,3,5,3,5,3,5,4,3,3,3,3,2,3,3,3,1,155,44,2,1,1,2,4,3,3,4,2,3,4,5151
3,2,4,4,3,4,1,4,4,1,1,2,2,3,3,5,2,4,4,3,2,4,4,3,3,1,11,1,1,1,3,3,3,3,4,3,3,3,4,11,3,3,2,3,3,3,3,162,52,2,2,1,2,2,4,2,4,3,3,3,5153
4,4,4,3,4,4,4,4,3,1,1,2,5,5,4,5,3,4,5,3,5,5,5,1,3,1,8,1,1,1,5,3,1,1,1,1,5,4,4,11,3,2,2,5,4,3,1,181,88,1,2,1,2,2,2,1,2,2,3,3,5154
4,3,4,3,3,2,1,3,2,2,1,2,5,1,2,4,2,4,5,5,5,5,4,1,5,3,10,1,1,1,4,3,1,1,5,5,4,4,4,11,5,2,3,5,4,3,1,160,54,2,1,1,2,1,2,3,5,3,3,4,5155
3,3,2,2,3,2,4,2,3,1,1,1,4,4,4,5,4,4,3,4,4,3,3,3,3,3,2,1,4,3,3,3,4,3,3,3,3,2,4,8,2,3,4,3,3,4,4,167,60,2,1,1,2,4,4,4,4,4,4,5,5157
4,2,3,4,2,2,3,2,3,1,1,2,2,3,2,3,2,3,2,5,4,4,2,2,3,2,2,2,2,1,5,4,2,1,1,1,2,1,4,11,2,3,3,3,3,2,1,163,75,3,1,1,2,5,2,4,4,4,4,5,5158
4,4,3,2,3,2,3,3,3,1,2,1,4,4,4,4,1,4,4,5,4,3,3,2,4,2,5,2,4,3,2,2,3,2,4,3,4,3,4,3,2,4,3,4,4,3,2,160,60,2,1,1,2,4,4,4,5,3,5,5,5159
3,3,1,2,3,4,5,4,5,1,1,1,2,3,2,2,3,3,5,3,5,4,5,3,5,1,4,6,5,4,5,5,5,3,5,4,5,3,3,2,3,3,3,4,4,4,1,182,82,2,1,1,2,2,3,3,5,2,4,5,5160
4,4,3,4,3,4,3,2,4,2,1,2,5,4,4,5,3,5,4,5,5,4,4,2,4,4,12,2,4,4,1,1,1,1,1,1,3,4,4,4,3,1,4,5,3,4,1,170,62,1,1,1,2,4,4,3,4,4,4,5,5161
3,3,3,2,3,4,2,2,3,2,1,2,3,3,2,4,3,4,3,3,2,3,2,2,3,3,13,2,3,4,2,1,2,1,3,2,3,2,3,11,3,2,3,3,2,3,1,163,63,2,1,1,2,2,2,2,3,2,3,4,5163
3,3,3,3,3,3,3,3,3,2,1,2,3,3,3,3,3,3,4,4,4,3,3,3,3,2,2,2,3,3,4,1,5,4,4,4,4,4,2,11,3,3,3,3,3,3,4,175,80,2,1,1,2,4,4,4,4,4,4,4,5164
2,2,3,3,3,2,3,2,3,2,1,2,3,3,3,4,2,4,3,3,4,4,4,2,4,3,4,2,4,2,4,4,4,3,4,2,5,5,4,5,3,4,2,4,3,4,4,183,90,2,2,2,2,5,4,5,5,1,4,4,5169
4,3,3,3,2,3,3,4,3,1,2,2,5,4,3,4,3,3,5,5,5,5,5,1,5,3,8,1,3,3,1,1,3,2,4,4,5,5,4,11,4,4,5,4,5,3,1,173,67,2,1,1,2,3,3,2,3,3,4,5,5174
3,3,3,3,3,4,4,4,3,2,1,2,3,2,2,3,3,2,3,4,3,3,3,3,4,1,14,1,2,2,4,3,2,2,2,2,4,4,3,3,3,3,3,3,3,4,4,166,58,3,1,1,2,3,3,3,3,3,4,4,5175
3,3,2,5,4,3,4,4,1,1,1,1,4,5,4,5,3,5,4,5,4,4,4,4,4,4,2,2,4,3,1,4,5,4,3,3,2,2,5,6,4,4,3,5,5,4,1,175,60,2,1,1,2,4,3,4,4,3,4,4,5177
4,3,4,4,4,5,3,5,3,1,1,1,4,3,2,4,2,3,5,5,5,5,1,1,5,2,4,4,4,3,3,1,4,3,1,1,5,4,4,6,4,2,2,4,4,4,1,169,55,2,1,1,2,4,2,2,3,1,4,5,5178
3,3,2,3,3,3,4,2,4,2,1,2,3,4,2,4,3,4,5,4,4,5,4,3,4,3,2,2,2,2,3,3,3,3,2,2,3,2,4,7,2,3,2,3,2,3,4,166,60,2,1,1,2,2,2,2,3,3,3,4,5181
3,3,2,3,3,2,3,4,4,2,1,2,2,2,4,4,4,3,4,3,4,4,4,3,3,2,2,1,3,1,2,1,3,1,4,3,3,1,2,3,2,2,3,4,4,3,1,151,42,3,1,1,2,3,3,3,4,3,4,5,5182
4,4,3,3,3,3,3,3,3,1,1,1,3,3,3,3,3,4,4,5,4,3,3,2,3,2,6,2,4,3,4,3,5,4,2,2,2,2,3,5,3,2,2,4,4,3,1,170,50,2,2,1,2,3,2,3,3,1,2,5,5183
2,2,1,4,2,1,3,4,4,1,1,1,4,5,4,5,5,5,4,5,4,4,5,1,5,1,13,3,3,2,3,3,5,3,3,2,5,5,4,7,5,5,3,5,4,5,1,179,65,2,1,1,2,5,3,4,4,3,4,4,5189
4,3,3,3,3,3,3,3,3,1,1,1,3,3,3,4,3,4,4,3,4,5,3,2,3,3,13,2,2,3,3,3,4,3,4,3,2,2,4,2,3,3,3,3,4,4,3,158,47,2,1,1,2,4,2,2,4,3,4,4,5190
5,4,4,3,3,5,4,5,3,1,1,1,3,3,3,2,3,4,5,4,5,5,4,1,3,3,1,4,1,1,4,3,4,2,2,1,3,3,4,11,3,3,3,4,4,3,3,154,50,3,1,1,2,2,3,3,4,3,5,5,5191
3,2,2,4,5,4,5,2,5,1,1,1,3,5,5,5,1,4,5,4,3,5,5,1,5,1,5,1,3,4,3,3,3,5,5,5,5,5,4,11,5,5,2,5,4,5,1,158,44,1,1,1,2,4,4,4,5,2,5,5,5194
