BYSID,GENDER,father_job,BYS22001,BYS22002,BYS23002,BYS04008,BYS04009,selfConcept_cate,lifeSelfConfidence_cate,emotionalStability_cate,schFacilSatisfi_cate,careerSelfEfficacy_cate,liberalArts_cate,naturalSciences_cate,teacherRel_cate,AT_05,J007C
5557,2,4,6,2,1,1,3,3,3,2,3,2,3,2,1,1,1
5560,1,1,1,3,9,1,4,2,1,2,1,1,3,2,1,1,1
5561,1,1,4,2,1,4,6,3,4,1,1,3,2,2,1,2,2
5565,1,3,1,8,2,1,6,3,2,1,1,3,2,3,1,2,1
5567,1,4,2,7,3,1,6,3,3,2,2,3,3,1,1,0,4
5568,2,5,3,1,3,4,5,2,2,1,1,3,2,1,2,1,1
5569,2,4,2,1,1,3,1,2,1,1,3,2,1,2,1,0,1
5570,2,4,1,3,1,3,6,2,2,2,3,2,2,3,1,1,2
5573,2,4,1,7,3,3,5,2,3,2,3,3,2,2,1,2,2
5577,2,1,2,9,8,1,4,3,3,2,2,3,4,1,2,1,1
5579,1,4,3,6,2,1,2,2,2,1,2,3,2,3,2,2,4
5582,1,2,3,8,2,4,3,3,3,2,3,3,3,4,1,0,4
5583,1,3,1,8,1,6,9,3,3,1,3,3,3,4,1,2,3
5584,1,3,2,1,3,1,4,3,2,1,3,3,2,3,1,1,4
5585,1,4,2,3,2,4,6,3,4,2,3,3,3,3,1,1,1
5588,2,4,2,1,1,5,3,3,3,1,3,4,4,3,1,0,1
5590,1,4,1,9,3,4,6,3,3,1,3,4,3,1,1,1,3
5596,1,5,1,8,1,4,7,3,3,1,2,4,3,2,1,1,1
5599,2,4,1,3,1,3,6,3,4,1,3,4,2,2,1,2,1
5600,1,1,3,2,1,5,6,3,4,1,2,2,3,3,1,1,3
5602,1,1,8,6,8,4,5,4,4,2,2,3,2,3,1,2,1
5609,2,1,6,8,4,1,6,3,4,2,3,4,3,3,1,0,3
5610,1,5,1,6,1,1,6,3,3,2,2,3,2,1,1,1,1
5611,1,1,1,3,2,4,1,3,4,2,2,3,3,3,1,1,1
5613,2,2,2,1,1,9,5,3,3,1,3,3,2,2,1,1,1
5614,1,3,1,2,1,1,4,3,2,1,3,3,3,2,1,1,1
5615,1,3,1,8,2,1,4,3,2,1,3,3,3,1,1,1,2
5618,2,1,2,6,1,1,6,4,4,1,3,4,4,3,1,1,1
5619,1,3,2,5,1,4,7,3,3,1,2,4,3,2,1,1,4
5620,2,0,2,8,1,3,1,3,2,1,4,3,2,4,1,2,1
5621,1,2,3,1,1,4,6,2,2,2,3,3,3,1,1,1,3
5624,1,2,2,9,1,4,6,3,4,2,1,3,1,2,1,0,1
5626,2,1,2,1,1,6,9,3,3,1,3,2,3,2,1,1,2
5627,2,4,2,6,1,1,3,2,3,1,3,3,3,3,2,1,2
5629,1,3,3,1,2,3,5,3,3,2,3,3,3,3,1,2,1
5632,2,4,2,1,1,1,3,3,4,2,3,3,2,4,1,1,1
5635,2,4,3,2,1,5,1,3,3,1,3,4,1,3,1,2,1
5636,2,1,2,1,1,1,3,3,3,1,3,3,2,3,1,1,1
5637,2,1,1,9,9,4,6,4,3,1,2,2,4,3,1,1,1
5638,1,4,2,9,4,1,4,3,3,1,2,4,3,2,1,1,1
5641,1,1,2,1,1,1,3,3,2,1,3,4,2,5,1,2,1
5645,1,1,1,2,7,1,3,3,3,2,3,4,3,1,1,1,3
5647,1,4,3,1,2,1,6,2,4,2,3,3,1,1,1,1,2
5648,2,2,2,9,1,3,4,3,3,1,3,2,3,2,1,1,1
5649,1,1,7,10,4,1,4,4,4,2,4,3,3,3,1,2,4
5650,1,5,2,1,1,5,4,3,4,1,2,3,2,3,1,1,1
5653,2,4,8,1,3,1,6,2,2,2,2,2,2,2,1,1,1
5654,1,1,2,6,1,4,8,2,2,1,2,3,3,1,1,1,3
5656,1,1,1,2,1,1,3,4,4,1,3,4,3,3,1,1,3
5660,1,1,8,1,1,1,4,3,3,2,2,3,3,3,1,2,2
5661,2,0,8,9,3,1,5,2,2,2,3,4,3,2,1,2,1
5663,1,1,1,8,1,1,4,2,2,2,3,2,1,3,2,2,4
5664,1,4,3,1,2,1,6,3,4,1,2,4,2,4,1,2,3
5666,1,1,1,3,1,3,4,3,2,2,3,2,3,4,1,1,3
5668,1,3,8,1,3,4,1,2,2,1,3,3,3,2,1,1,3
5673,1,1,1,9,3,4,3,2,2,1,2,3,3,3,1,1,1
5674,1,5,1,2,3,4,3,3,3,1,4,3,2,3,1,2,1
5676,1,1,8,3,8,3,1,3,3,1,3,4,3,2,1,1,1
5677,1,4,2,1,1,4,1,3,2,1,3,2,2,3,1,2,4
5678,1,4,3,1,1,1,4,2,2,2,2,2,2,2,1,1,2
5680,2,3,2,1,1,1,4,3,3,1,4,3,3,3,1,0,1
5681,1,4,2,8,1,4,1,3,3,2,3,4,2,4,1,2,4
5682,1,1,1,3,4,1,6,3,3,2,3,2,2,2,1,1,4
5683,2,4,6,2,1,1,4,3,3,2,2,2,3,1,1,1,2
5686,1,3,9,8,6,1,3,3,4,1,2,3,3,3,1,1,1
5687,1,4,3,1,1,4,1,3,3,2,3,3,2,2,1,0,4
5690,1,4,2,6,1,1,4,3,2,1,4,3,3,3,1,0,4
5692,2,0,8,1,3,3,1,2,2,2,2,2,2,2,1,1,1
5693,2,4,2,6,1,3,2,3,3,1,4,5,4,3,1,1,1
5695,1,1,1,2,1,4,3,4,4,1,3,4,4,3,1,1,4
5696,2,5,1,8,1,1,5,3,3,1,3,2,2,2,1,1,1
5698,2,1,2,1,1,3,5,3,3,1,4,4,3,1,1,1,4
5699,2,4,3,1,2,4,1,2,2,2,2,2,1,2,2,1,1
5704,1,4,2,3,1,4,8,2,2,1,3,3,2,1,1,1,3
5712,2,4,1,3,1,1,3,3,3,1,3,3,2,3,1,2,2
5714,2,1,6,1,4,3,1,3,3,1,4,5,4,3,1,2,1
5716,1,4,5,9,5,3,4,3,4,3,2,3,4,1,1,1,1
5717,1,0,2,9,1,4,3,2,2,2,2,2,1,3,1,2,4
5719,1,4,1,7,1,1,9,3,3,2,2,2,3,1,1,1,1
5720,2,4,3,1,2,6,3,3,3,1,4,2,2,3,1,1,2
5722,2,4,8,1,3,3,1,3,3,1,3,3,3,1,1,1,1
5723,2,4,10,2,1,3,6,3,3,1,4,2,2,2,1,1,4
5724,2,3,2,6,1,1,4,3,2,2,2,4,4,3,1,1,3
5726,2,3,1,9,3,1,6,4,4,1,2,3,3,4,1,1,1
5730,1,1,1,2,1,1,6,3,3,2,2,3,2,2,2,0,2
5738,2,1,6,8,6,6,1,2,2,1,2,2,3,3,2,1,1
5739,2,1,2,8,1,1,5,4,4,1,2,4,4,2,1,1,1
5741,1,4,1,6,1,1,4,3,2,2,2,3,1,4,1,2,4
5744,1,0,1,2,1,3,5,3,3,1,1,3,2,3,1,2,2
5745,2,4,2,1,1,1,5,4,4,2,2,3,1,2,1,1,1
5749,2,0,1,2,3,1,5,3,3,2,3,2,2,2,1,2,4
5756,2,5,3,1,3,3,2,2,2,2,3,3,3,2,2,1,1
5758,1,5,9,3,1,4,5,3,3,2,1,4,3,3,1,1,3
5763,1,0,1,8,1,6,5,3,4,1,3,4,3,3,1,1,3
5768,2,4,1,8,1,4,1,3,2,2,2,3,2,3,1,1,3
5770,1,3,2,1,1,1,4,3,2,1,3,2,3,3,1,2,4
5773,1,4,1,2,1,3,1,3,3,2,2,3,3,1,1,1,1
5775,1,1,1,2,1,3,1,3,4,2,2,5,3,3,1,2,1
5778,1,4,1,2,1,4,1,2,2,2,2,3,3,1,1,1,4
5781,1,5,2,3,1,4,3,4,4,1,2,2,4,3,1,2,3
5782,1,1,8,3,1,1,4,2,2,2,2,3,1,4,1,2,1
5784,2,5,3,1,1,5,4,3,3,1,3,4,2,1,1,1,2
5785,2,1,1,6,1,1,4,3,3,1,3,4,3,1,1,1,1
5786,1,1,2,3,1,4,1,3,3,2,3,3,2,3,1,2,2
5790,1,1,2,1,1,4,6,3,4,1,3,3,3,4,1,2,3
5794,1,1,3,5,1,4,1,3,4,1,2,3,3,3,1,1,1
5796,2,1,1,2,1,6,1,3,3,1,3,3,3,1,1,1,1
5797,2,1,6,2,1,3,1,2,2,2,2,3,3,2,1,1,1
5799,2,4,2,9,1,5,2,3,3,1,3,2,2,1,1,1,1
5801,2,0,6,2,1,1,5,3,3,1,3,3,4,2,1,1,1
5804,1,1,2,1,1,1,7,4,5,2,3,4,3,2,1,1,3
5805,1,3,8,1,1,4,3,3,3,1,3,3,2,4,1,2,1
5807,1,0,3,1,9,3,1,3,3,2,2,4,3,4,1,2,2
5808,1,3,2,1,1,1,4,3,2,1,3,2,2,3,1,2,3
5811,2,4,2,3,1,3,1,2,2,1,2,2,2,1,1,1,1
5816,1,5,8,2,1,4,3,2,1,1,2,3,2,2,1,0,1
5819,1,1,1,8,1,4,1,2,3,2,2,3,2,2,1,1,4
5821,2,1,1,3,1,1,3,4,4,2,4,3,4,3,1,1,1
5822,2,1,1,3,2,5,4,3,3,2,2,4,3,1,1,1,1
5823,1,1,1,9,2,4,6,3,3,1,2,4,3,1,1,1,1
5828,2,1,9,4,1,4,3,2,2,2,3,2,2,3,1,0,1
5831,1,0,6,8,1,3,4,3,4,1,2,3,2,1,1,2,4
5834,1,1,1,3,2,6,1,4,4,1,3,3,3,3,1,2,3
