BYSID,father_job,col_major,BYS22001,BYS22002,BYS23002,BYS04008,BYS04009,selfConcept_cate,lifeSelfConfidence_cate,emotionalStability_cate,schFacilSatisfi_cate,careerSelfEfficacy_cate,liberalArts_cate,naturalSciences_cate,AT_05,GENDER,teacherRel_cate,J007C
5437,4,4,2,1,1,1,6,3,3,1,3,3,1,3,2,1,1,4
5439,0,7,1,2,1,4,6,3,3,1,2,3,2,3,1,1,1,5
5441,4,7,1,9,2,1,3,3,4,2,3,3,2,3,2,1,1,2
5442,0,7,2,6,1,5,4,2,1,2,2,3,3,1,1,2,2,6
5444,4,0,3,8,2,9,5,3,4,2,4,3,2,2,0,1,1,8
5449,4,0,1,3,9,3,1,3,3,2,3,3,3,4,1,1,1,5
5450,5,4,1,3,1,5,6,3,2,1,2,4,2,1,0,1,1,8
5452,4,0,3,1,1,4,9,3,4,2,2,3,4,2,2,1,1,6
5456,3,5,5,10,1,1,4,3,2,1,3,2,3,4,2,1,1,5
5461,0,2,1,8,1,5,4,3,5,2,2,1,1,1,0,1,1,8
5466,1,4,1,3,2,1,4,4,4,1,2,4,2,3,0,1,1,8
5467,4,5,2,9,1,4,3,3,3,1,3,3,2,3,2,1,1,2
5469,1,1,6,9,2,1,7,3,3,1,2,4,4,4,1,1,1,2
5477,4,5,2,3,8,5,4,3,3,2,3,2,3,1,1,1,1,8
5478,4,2,1,2,1,4,1,3,3,1,3,4,3,3,0,1,1,6
5481,5,2,3,1,2,5,1,3,4,1,3,1,2,1,1,2,2,6
5483,0,7,1,7,1,5,3,3,3,1,3,3,2,2,1,2,1,8
5484,4,5,6,2,1,4,1,2,2,1,3,3,3,3,2,2,1,6
5485,3,2,1,6,1,5,1,4,3,2,3,3,3,4,0,2,1,1
5491,4,7,1,7,3,6,1,3,3,1,2,3,3,2,0,2,1,6
5493,1,5,2,8,2,3,1,2,2,2,2,3,2,2,1,2,1,6
5494,1,0,2,1,1,1,6,3,2,2,4,2,3,3,1,2,1,8
5495,4,2,2,6,1,4,1,3,3,1,3,3,3,3,2,1,1,6
5498,0,5,1,3,1,6,1,2,2,2,3,2,2,3,2,2,1,1
5500,1,7,2,3,6,1,5,4,4,1,2,4,4,1,1,1,1,6
5501,4,4,2,1,1,2,9,2,3,2,3,3,2,2,1,2,1,5
5503,5,4,10,1,1,3,5,3,3,1,3,4,2,4,2,1,1,1
5505,1,4,8,2,1,4,1,3,3,2,3,3,2,5,2,1,1,8
5506,4,7,1,2,1,3,1,3,2,1,4,3,2,2,1,2,1,2
5507,0,0,1,2,1,3,4,3,4,2,5,3,3,4,2,1,1,8
5508,4,6,1,3,1,9,6,3,3,2,2,3,2,2,2,1,1,8
5511,1,0,1,10,1,1,4,4,4,1,2,4,2,4,2,1,1,2
5512,4,3,2,1,1,3,1,2,1,1,2,3,2,4,1,2,1,2
5513,4,4,8,6,2,4,3,2,2,1,2,2,2,2,2,1,1,8
5514,5,4,2,3,1,3,1,4,4,1,4,4,2,4,2,1,1,8
5517,3,0,1,7,1,3,6,3,2,2,3,2,3,1,1,1,1,5
5523,4,4,3,1,1,3,4,3,3,1,3,2,2,2,0,1,2,5
5525,1,4,1,3,2,1,5,3,3,2,3,3,3,3,2,1,1,8
5529,0,4,6,8,1,1,4,3,2,2,3,3,3,2,1,1,1,8
5533,4,7,2,1,1,1,3,3,3,2,3,3,2,4,2,1,1,1
