BYSID,J007C
2139,1331
2139,1112
2140,711
2140,232
2140,1032
2144,1045
2144,1331
2144,721
2144,721
2145,721
2145,721
2145,721
2145,721
2146,220
2146,232
2146,251
2146,220
2146,220
2148,1331
2149,1331
2149,959
2153,1032
2153,1045
2153,462
2153,222
2154,252
2156,1045
2157,422
2158,1032
2158,1119
2158,252
2159,1723
2159,224
2159,2272
2162,450
2162,450
2162,450
2162,450
2165,220
2166,2121
2166,2121
2166,2121
2166,2121
2167,1045
2167,2410
2168,1032
2168,1032
2168,1319
2172,1331
2173,1331
2173,1331
2173,1331
2173,1332
2174,1331
2174,1032
2174,1212
2174,2028
2174,2028
2174,221
2174,221
2176,462
2176,1331
2178,1970
2178,856
2179,1970
2179,1970
2180,1032
2181,1331
2181,1332
2181,221
2183,1032
2183,464
2191,1250
2191,1250
2193,1331
2193,1331
2193,1032
2193,1032
2193,242
2193,232
2193,232
2194,1319
2196,464
2196,220
2196,854
2198,1320
2198,1045
2198,1320
2198,1269
2198,1331
2198,1045
2198,1052
2198,1032
2200,1250
2200,2125
2200,2121
2200,2125
2200,1961
2201,232
2201,1132
2201,225
2202,1032
2202,1032
2202,1331
2202,879
2202,1032
2203,1970
2203,1970
2203,1970
2203,1970
2203,1970
2204,1331
2206,2023
2206,2020
2210,1313
2210,1333
2210,1310
2210,1310
2213,1032
2215,1032
2215,1032
2215,1032
2216,1045
2217,1330
2217,1032
2217,2028
2217,252
2217,221
2217,1331
2217,2272
2218,462
2218,462
2219,2272
2221,252
2224,1331
2224,462
2224,462
2225,1032
2225,242
2227,1121
2227,464
2227,1320
2227,2028
2227,889
2227,1970
2228,1044
2231,1031
2232,1331
2232,252
2232,1250
2232,1045
2232,1045
2232,1045
2232,1045
2233,1264
2233,1264
2234,1912
2236,674
2237,714
2237,711
2237,711
2238,1114
2238,1045
2238,1043
2239,1045
2239,1490
2239,659
2240,2127
2240,677
2243,1331
2246,242
2246,242
2248,464
2250,460
2250,462
2251,1032
2251,220
2253,1032
2254,460
2254,451
2255,1043
2255,1331
2255,1331
2256,1045
2257,1332
2257,1043
2257,2410
2257,2410
2257,2410
2257,959
2258,2030
2260,1332
2260,1332
2263,1331
2263,1045
2263,1045
2263,1045
2263,1331
2263,1331
2266,243
2266,1331
2266,1331
2266,1331
2266,1331
2271,223
2276,1332
2276,1331
2276,1331
2276,1320
2276,1331
2276,1331
2277,1045
2277,1045
2279,1250
2279,1250
2279,242
2279,242
2279,232
2280,241
2280,252
2281,1331
2283,959
2283,2121
2283,1920
2286,1331
2286,1132
2286,1132
2286,224
2288,1032
2288,1581
2288,1581
2290,1045
2290,1132
2290,1132
2292,252
2292,1032
2292,1970
2292,1970
2292,1970
2292,1970
2292,1970
2294,1331
2294,1213
2294,1213
2294,1213
2295,241
2295,952
2296,462
2296,462
2296,462
2297,1331
2297,1331
2297,1119
2297,1032
2298,1332
