BYSID,J007C
3976,0252
3977,0677
3978,1410
3981,1970
3983,1331
3984,0640
3985,1331
3986,1121
3990,1331
3991,1045
3992,1014
3993,1250
3994,0323
3998,1970
3999,1522
4005,1032
4006,0228
4007,0220
4008,1900
4013,0679
4016,0232
4017,2320
4018,1970
4019,0220
4020,0252
4022,1250
4023,1970
4024,1551
4027,1670
4028,1045
4030,1132
4031,2272
4032,1032
4035,1250
4038,1939
4041,0959
4043,0232
4044,1970
4045,1970
4047,1032
4048,1045
4049,1970
4053,0952
4056,1032
4057,1045
4058,1970
4059,0220
4060,1032
4061,2023
4064,1970
4068,0231
4069,1583
4071,1045
4073,1032
4076,1970
4079,0323
4080,1970
4081,1032
4082,1032
4085,1045
4088,1219
4092,1331
4093,1032
4096,2272
4100,1970
4102,1250
4103,0959
4104,0322
4108,0651
4111,2272
4112,1970
4113,1331
4119,1583
4120,1331
4125,0241
4129,1250
4130,1331
4133,1970
4135,0220
4140,0232
4143,0241
4145,0220
4148,1331
4149,1032
4151,1911
4152,2325
4153,1032
4154,1970
4155,1032
4158,0677
4160,1331
4166,1331
4168,1970
4169,0220
4171,1045
4172,1910
4173,0252
4183,0221
4189,1250
4190,2121
4191,2410
4192,2271
4193,1032
4195,0721
4198,0223
4199,0959
4200,1332
4201,0640
4202,0464
4203,2241
4204,2123
4207,1331
4208,1970
4210,1032
4211,1250
4213,1331
4215,2029
4217,1032
4218,0252
4219,1333
4221,2121
4223,1032
4225,1970
4226,1583
4229,0220
4232,0679
4233,0721
4234,1932
4235,0881
4240,0252
4241,1970
4242,1521
4245,1582
4248,1970
4249,1532
4251,1119
4253,0856
4254,1650
4255,1650
4256,2023
4257,1043
4258,1032
4259,0224
4260,0252
4264,0224
4265,1250
4267,0232
4271,1331
4272,1331
4273,1970
4274,1250
4275,1114
4276,1970
4278,1043
4279,1939
4281,1930
4282,1331
4283,1014
4284,1264
4286,2020
4291,1119
4293,0220
4294,1521
4295,1032
4296,1032
4297,1529
4298,1970
4299,1331
4305,1264
4306,0959
4307,1970
4310,1623
4312,1112
4318,1032
4319,1032
4321,0677
4323,1032
4324,1032
4327,1045
4329,0663
4330,0722
4331,1970
4337,1583
4339,1621
4340,1970
4342,1331
4347,1970
4349,1939
4351,1333
4354,1250
4355,1319
4356,1970
4358,0889
4360,0850
4364,0322
4366,0721
4367,0252
4370,0464
4372,1970
4375,1583
4376,1441
4377,0873
4378,1045
4379,1661
4380,2125
4382,1250
4385,1331
4388,0663
4389,1045
4390,1470
4393,1045
4394,0721
4395,0232
4398,1970
4399,2261
4400,1510
4402,1540
4407,0232
4408,1331
4410,1250
4411,0722
4413,1044
4420,1415
4421,1032
4423,1045
4424,1582
4426,0232
4431,1970
4432,1032
4436,1219
4440,0217
4441,1970
4442,0232
4443,0712
4445,1045
4447,0252
4452,1331
4455,0241
4456,1920
4457,1463
4461,0846
4463,0217
4465,0959
4469,1331
4471,1331
4472,0855
4473,2020
4474,1529
4475,1510
4476,1331
4478,1250
4479,1331
4483,1331
4486,0321
4487,1490
4488,2020
4490,1032
4491,1032
4494,1970
4496,1331
4500,2272
4501,0232
4505,1332
4506,1221
4507,0228
4508,1970
4509,0879
4510,1014
4513,1490
4514,1670
4516,1970
4521,1114
4522,1032
4523,1310
4524,2272
4526,1264
4528,1490
4530,1031
4531,2012
4533,0232
4534,1583
4536,1970
4537,1650
4540,0241
4541,1970
4545,1331
4546,1032
4547,0241
4549,1250
4550,0232
4555,0223
4558,1331
4559,2271
4560,1264
4561,0939
4563,1970
4564,1970
4566,1970
4567,1045
4572,2025
4573,1331
4574,1510
4577,2272
4578,2271
4579,1662
4581,0462
4583,1032
4584,1331
4586,1331
4587,1219
4588,1264
4590,0241
4592,2266
4593,0252
4594,1331
4598,0220
4604,1970
4605,1014
4608,1264
4609,1582
4610,1331
4613,1051
4614,1970
4615,1331
4619,1463
4621,1682
4622,0220
4623,0862
4627,1043
4628,1540
4631,1970
4633,0712
4634,0241
4636,1911
4639,0851
4641,1045
4646,1970
4649,2212
4650,2410
4653,1033
4656,1032
4658,1583
4660,1520
4663,1119
4664,0241
4666,1583
4669,1045
4671,2272
4672,0959
4674,1583
4675,0941
4676,2271
4679,0711
4684,0677
4688,1032
4690,1045
4691,2212
4692,1970
4693,1269
4696,1313
4699,2410
4701,0721
4703,2410
4704,1032
4707,1661
4709,1032
4710,0156
4711,1724
4714,0232
4715,1011
4720,1970
4721,2023
4722,0232
4727,0156
4728,1319
4729,1331
4730,0855
4731,1970
4732,0959
4733,1670
4735,0677
4737,1320
4739,0220
4741,0220
4743,0952
4745,1331
4751,0700
4753,0651
4756,1043
4759,1970
4762,1331
4763,1463
4765,1045
4768,1032
4772,0232
4773,1331
4777,1970
4779,1113
4783,1032
4784,0677
4785,0232
4786,1723
4787,2272
4788,0465
4789,1052
4790,1583
4791,1119
4792,0217
4793,1112
4795,1045
4796,1045
4797,1045
4799,1032
4801,1910
4802,2410
4803,1219
4804,1331
4805,0853
4806,1333
4808,0252
4810,1032
4812,1232
4817,1970
4818,0241
4820,1920
4823,1044
4824,1331
4825,1970
4828,0220
4829,1264
4830,1044
4833,1033
4837,1581
4838,0875
4840,2028
4845,1213
4846,1121
4849,1044
4855,0721
4857,1970
4860,0413
4862,1510
4866,1032
4867,1415
4868,1970
4869,1521
4872,0220
4874,1582
4875,0460
4877,1032
4879,1114
4881,1032
4884,1032
4888,0241
4890,0231
4891,1331
4892,0677
4895,0232
4903,2410
4904,1032
4907,1331
4908,1045
4909,0232
4910,1045
4913,2271
4914,0663
4917,1583
4918,1970
4919,0241
4925,1032
4927,1219
4928,0232
4930,0232
4932,0640
4934,0220
4936,1331
4937,2023
4939,1331
4941,0854
4945,1331
4950,1910
4951,0821
4953,1970
4954,1044
4955,1331
4956,1250
4957,0242
4958,1490
4959,1970
4960,1045
4962,1970
4964,2410
4968,0220
4969,1114
4971,1970
4972,1331
4974,1331
4976,1043
4977,1970
4980,1045
4981,0252
4984,1331
4986,1970
4988,0676
4989,1264
4990,0856
4991,1521
4993,1720
4994,1250
4999,1333
5000,0241
5002,1045
5003,0613
5004,0711
5005,1510
5008,1490
5009,1219
5010,0453
5012,1331
5014,0462
5015,1032
5016,0222
5018,1043
5020,2110
5022,1331
5025,1333
5026,1970
5028,0462
5031,0315
5032,1045
5033,1031
5034,0332
5035,1045
5036,2222
5037,1045
5041,1331
5042,0612
5043,1331
5045,0228
5046,0451
5047,1331
5052,1032
5054,0462
5055,1333
5056,1970
5058,0441
5059,1330
5060,1331
5064,1032
5065,0252
5066,0674
5068,0413
5069,1043
5070,0241
5071,1331
5072,1045
5073,2121
5074,0241
5075,1045
5078,1232
5079,0464
5080,1583
5081,1581
5082,0677
5083,1045
5088,1032
5092,1331
5094,1043
5097,1032
5098,0851
5101,0679
5102,1031
5105,1932
5106,0462
5108,0952
5109,2122
5113,1032
5120,0252
5121,1119
5122,1332
5126,0220
5127,1583
5129,0462
5130,1970
5131,0252
5132,1045
5140,1034
5142,1014
5144,0462
5146,1132
5147,1490
5148,2410
5151,1331
5153,1219
5154,0220
5155,0847
5157,0228
5158,0462
5159,0640
5160,0228
5161,1222
5163,2340
5164,0212
5169,0712
5174,0252
5175,1139
5177,1264
5178,1114
5181,1032
5182,0852
5183,1045
5189,0221
5190,0252
5191,0663
5194,0460
5195,1582
5196,1540
5198,1331
5199,1132
5200,1032
5203,0462
5204,0462
5206,1031
5211,1970
5213,1264
5215,1331
5219,1121
5220,1114
5221,1450
5222,0850
5223,1032
5225,1670
5226,1045
5227,1331
5231,0453
5233,0243
5235,1045
5236,1250
5237,1112
5243,1331
5244,1319
5245,0464
5246,0959
5251,0462
5252,0241
5253,1970
5255,0220
5256,0232
5257,1331
5258,0221
5259,0462
5260,0220
5261,0227
5262,0464
5263,1045
5268,0231
5269,1331
5270,1725
5274,1045
5275,1320
5276,1331
5277,1032
5278,0228
5279,1331
5283,0959
5284,1314
5285,1331
5286,0252
5288,0252
5289,1331
5291,1330
5293,0231
5296,2271
5298,0224
5302,0154
5303,1250
5305,1045
5307,0220
5308,1043
5310,1045
5313,1032
5316,1213
5317,1581
5318,1014
5320,0462
5322,0421
5323,0221
5324,1331
5326,1045
5329,2212
5330,1331
5331,1032
5332,0228
5335,1849
5338,1032
5339,1013
5340,0252
5341,1331
5342,1970
5345,0854
5346,0241
5348,1032
5349,1045
5354,1112
5355,1330
5356,0460
5357,0462
5358,0462
5360,1931
5361,0959
5362,1331
5363,2229
5364,1032
5367,1045
5368,0850
5369,0464
5370,0853
5371,0677
5372,1331
5374,0462
5376,0462
5378,0462
5381,1331
5382,0225
5383,0252
5384,0224
5386,0462
5390,0679
5391,1710
5392,1032
5396,1331
5397,1410
5399,1051
5400,0739
5401,1045
5404,1032
5408,1051
5409,1045
5410,1045
5412,0721
5413,1032
5414,0464
5416,0854
5417,1264
5419,0640
5420,1331
5424,1045
5427,0640
5428,0232
5429,1331
5431,0441
5434,1331
5435,1583
5437,0722
5439,1264
5441,0462
5442,1032
