BYSID,Influence_cate,Influence_cate_one,Feeling_cate,consideration_cate,Intuition_cate,Sensing_cate,GENDER,jobselect1st,jobselect2nd,jobSuccess,careerMaturity_cate,selfConcept_cate,lifeSelfConfidence_cate,emotionalStability_cate,schLecSatisfi_cate,schFacilSatisfi_cate,teacherRel_cate,careerInfo_cate,selfUnderstanding_cate,careerSelfEfficacy_cate,liberalArts_cate,naturalSciences_cate,foreignLanguage_cate,physical_cate,faAttention_cate,moAttention_cate,BYS22001,BYS22002,BYS23002,BYS23003,BYS23004,BYS04008,BYS04009,sch_code,AT_05,club,father_job,col_major,h_major,col_major,LN_house_income,house_income_cat,J007C
5081,1,0,1,1,1,1,1,1,1,1,3,3,3,1,3,3,1,3,3,4,2,3,3,4,3,4,6,2,1,4,2,3,4,8,0,9,1,4,1,4,5.501258211,3,4
5083,2,1,0,1,1,1,2,2,2,2,3,3,3,2,2,4,1,3,4,3,2,3,3,5,3,3,1,3,2,9,1,6,1,9,2,0,4,5,2,5,5.272999559,2,1
5088,1,0,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,4,3,2,3,2,2,1,3,3,1,9,1,6,2,4,1,8,1,0,1,2,1,2,5.843544417,4,3
5092,1,0,1,1,1,1,2,1,2,1,3,3,2,1,4,3,1,3,3,3,2,1,2,2,3,3,2,9,1,3,2,5,2,8,1,20,2,5,1,5,5.272999559,2,3
5094,1,0,1,1,1,1,1,1,2,1,2,2,2,2,3,3,1,2,2,2,3,2,1,5,3,4,1,8,1,6,2,4,3,8,1,15,4,2,1,2,4.976733742,2,4
5097,2,1,2,2,1,2,1,2,2,1,3,3,2,1,2,2,1,2,4,2,2,2,1,4,3,4,2,3,3,2,2,4,1,8,1,0,1,2,1,2,4.976733742,2,4
5105,2,1,1,2,1,1,1,2,2,1,3,3,3,1,3,2,1,3,4,3,3,3,3,4,3,4,1,3,6,2,2,4,5,9,1,15,5,4,2,4,5.010635294,2,4
5106,2,1,0,2,1,2,1,1,2,1,3,3,3,2,2,3,1,3,4,3,3,3,4,2,3,4,2,1,1,2,2,5,1,9,2,0,1,4,2,4,5.686975356,3,4
5108,1,0,1,0,1,1,1,1,2,1,2,2,2,2,3,3,1,3,2,3,2,3,2,3,3,3,1,2,1,6,2,4,1,9,2,0,0,4,2,4,4.007333185,1,2
5109,2,1,0,2,2,1,1,1,1,1,3,2,1,2,2,1,1,3,3,3,2,3,3,2,3,4,1,7,1,4,2,1,5,9,2,0,4,4,2,4,5.272999559,2,4
